,model,trainc1,trainc2,testc1,testc2
0,unetfpnsum,0.99832356,0.64463437,0.9976037,0.6534842
1,unetfpn,0.9984633,0.6743402,0.9977859,0.678891
2,unetfpnconcat,0.998404,0.6543167,0.99769205,0.65882033
3,fcnfpn,0.9981444,0.5261779,0.9973066,0.5294586
